# Data (black line) taken from Fig 5 of Ou et al (2303.12838)
# R [kpc]    Delta_sys/v_circ
5.331955756049325    0.028516153537617925
5.415464212643277    0.027381875943503525
5.478638458766363    0.026381691120210105
5.541812704889447    0.025383753903261155
5.604986951012532    0.024384692883139977
5.668161197135618    0.023386755666191042
5.731335443258702    0.02238769464606985
5.811882607065635    0.02149876633682818
5.927175606240265    0.02051206715160163
6.0282544000372    0.019569477240885494
6.129333193834135    0.01862548257620407
6.25331265185069    0.017695067199853864
6.355088220421042    0.018415513174684844
6.407299876775709    0.019456239284398477
6.495910069364141    0.02051655250636801
6.577870341308038    0.021382912446162722
6.647362012043431    0.02233313911025385
6.714296629959557    0.023255484752786076
6.79582149043268    0.024067833903005126
6.928487407291159    0.023676108225824402
7.061153324149636    0.023131331259471963
7.193819241008114    0.02258227313817765
7.3138503086419755    0.021864927852771485
7.411770390132757    0.020872486883269967
7.500214334705076    0.019933308517898138
7.588658279277395    0.018990919286319893
7.6771022238497135    0.01805655722025766
7.7655461684220315    0.017123800587298635
7.886959172689836    0.01647761376326075
7.991709969542675    0.01757856627099834
8.074413297836852    0.018716669431429828
8.138274220548233    0.0196332530709101
8.229876877426705    0.02032610448381432
8.362542794285183    0.01994508169398826
8.495208711143661    0.019489138692679542
8.62787462800214    0.01902677395895802
8.760540544860618    0.018754920620149537
8.893206461719096    0.018826629965425792
9.025872378577574    0.018914393641734042
9.158538295436053    0.018995735585629503
9.291204212294529    0.019217285353871058
9.423870129153007    0.019588675545077927
9.556536046011486    0.019964346891226656
9.689201962869964    0.020310050152782325
9.82186787972844    0.020109906159250096
9.954533796586919    0.019676439221386177
10.087199713445397    0.019247253438464118
10.219865630303875    0.01887479295852179
10.352531547162354    0.019148786874801205
10.485197464020832    0.019605800164845394
10.61786338087931    0.02005746201121225
10.750529297737788    0.020556216561939622
10.883195214596267    0.021197319514484045
11.015861131454745    0.021863039107944182
11.148527048313223    0.022530899278875263
