R,v_c,sig_below,sig_above
6875.0,-224.24409823839264,6.413072173530878,4.785542289698071
8825.0,-226.62184720017166,6.484948160472754,4.8147550258565275
10775.0,-224.2732292912894,5.643284548707896,4.541861029907551
12725.0,-222.50170876594058,5.353730749573316,4.483921822797981
14675.0,-216.7179099865621,6.055069981776853,4.529876317984389
16625.0,-224.69822674079458,7.194964649285794,5.529986703130305
18575.0,-219.51907185898196,5.028284280526151,4.756750103387958
20525.0,-199.13056645697188,3.4776646071342157,3.1885386129111453
22475.0,-190.72563795254266,5.575331764810215,5.156818487337205
24425.0,-179.49141438424306,7.488740543064807,7.372076771899742
